1997.06;1,61;
1997.07;1,6;
1997.08;1,59;
1997.09;1,59;
1997.10;1,67;
1997.11;3,04;
1997.12;2,97;
1998.01;2,67;
1998.02;2,13;
1998.03;2,2;
1998.04;1,71;
1998.05;1,63;
1998.06;1,6;
1998.07;1,7;
1998.08;1,48;
1998.09;2,49;
1998.10;2,94;
1998.11;2,63;
1998.12;2,4;
1999.01;2,18;
1999.02;2,38;
1999.03;3,33;
1999.04;2,35;
1999.05;2,02;
1999.06;1,67;
1999.07;1,66;
1999.08;1,57;
1999.09;1,49;
1999.10;1,38;
1999.11;1,39;
1999.12;1,6;
2000.01;1,46;
2000.02;1,45;
2000.03;1,45;
2000.04;1,3;
2000.05;1,49;
2000.06;1,39;
2000.07;1,31;
2000.08;1,41;
2000.09;1,22;
2000.10;1,29;
2000.11;1,22;
2000.12;1,2;
2001.01;1,27;
2001.02;1,02;
2001.03;1,26;
2001.04;1,19;
2001.05;1,34;
2001.06;1,27;
2001.07;1,5;
2001.08;1,6;
2001.09;1,32;
2001.10;1,53;
2001.11;1,39;
2001.12;1,39;
2002.01;1,53;
2002.02;1,25;
2002.03;1,37;
2002.04;1,48;
2002.05;1,41;
2002.06;1,33;
2002.07;1,54;
2002.08;1,44;
2002.09;1,38;
2002.10;1,65;
2002.11;1,54;
2002.12;1,74;
2003.01;1,97;
2003.02;1,83;
2003.03;1,78;
2003.04;1,87;
2003.05;1,97;
2003.06;1,86;
2003.07;2,08;
2003.08;1,77;
2003.09;1,68;
2003.10;1,64;
2003.11;1,34;
2003.12;1,37;
2004.01;1,27;
2004.02;1,08;
2004.03;1,38;
2004.04;1,18;
2004.05;1,23;
2004.06;1,23;
2004.07;1,29;
2004.08;1,29;
2004.09;1,25;
2004.10;1,21;
2004.11;1,25;
2004.12;1,48;
2005.01;1,38;
2005.02;1,22;
2005.03;1,53;
2005.04;1,41;
2005.05;1,5;
2005.06;1,59;
2005.07;1,51;
2005.08;1,66;
2005.09;1,5;
2005.10;1,41;
2005.11;1,38;
2005.12;1,47;
2006.01;1,43;
2006.02;1,15;
2006.03;1,42;
2006.04;1,08;
2006.05;1,28;
2006.06;1,18;
2006.07;1,17;
2006.08;1,26;
2006.09;1,06;
2006.10;1,09;
2006.11;1,02;
2006.12;0,99;
2007.01;1,08;
2007.02;0,87;
2007.03;1,05;
2007.04;0,94;
2007.05;1,03;
2007.06;0,91;
2007.07;0,97;
2007.08;0,99;
2007.09;0,8;
2007.10;0,93;
2007.11;0,84;
2007.12;0,84;
2008.01;0,93;
2008.02;0,8;
2008.03;0,84;
2008.04;0,9;
2008.05;0,88;
2008.06;0,96;
2008.07;1,07;
2008.08;1,02;
2008.09;1,1;
2008.10;1,18;
